name_eng,name_th,location_eng,location_th,details,price_min,price_max,avg_rating,gender,image_url,phone_num,gps_latitude,gps_longitude,geom
Duangrawee Dormitory,หอพักดวงระวี,Keki ngam 1,เขตเกกีงาม 1,"desk, cabinet, bed",,,,female,,02-327-1005 081-762-9797,,,
Baan Nong Duean Dormitory,หอพักบ้านน้องเดือน,Keki ngam 1,เขตเกกีงาม 1,"table, bed, cabinet",,,,female,,02-739-0041 085-481-5601,,,
Baan Somprattana Dormitory,หอพักบ้านสมปรารถนา,Keki ngam 1,เขตเกกีงาม 1,Table cabinet,,,,mixed,,02-327-4131,,,
Sanong Yaibua Dormitory,หอพักสนอง ใยบัว,Keki ngam 1,เขตเกกีงาม 1,"table, bed, cabinet, free WIFI, Seperated building for male and female",,,,mixed,,089-003-4307,,,
Piam Arun Dormitory,หอพักเปี่ยมอรุณ,Keki ngam 1,เขตเกกีงาม 1,"Table, bed, cabinet",,,,male,,081-425-9741,,,
Fad Choy Dormitory,หอพักฝัดโฉย,Keki ngam 1,เขตเกกีงาม 1,"3.5-foot bed, desk cabinet",,,,mixed,,086-047-2183,,,
Wannarat Dormitory,หอพักวรรณรัตน์,Keki ngam 1,เขตเกกีงาม 1,Bed cabinet table,,,,female,,02-739-0014 081-617-1818,,,
Saranya Dormitory 1-3,หอพักศรัญญา 1-3,Keki ngam 1,เขตเกกีงาม 1,"Bed cabinet table, separate male/female",,,,mixed,,081-829-9240,,,
Baan Sabaai Dormitory,หอพักบ้านสบาย,Keki ngam 1,เขตเกกีงาม 1,"Bed, cabinet, table",,,,male,,086-813-1002 068-884-4036,,,
Somchai Dormitory,หอพักสมชาย,Keki ngam 1,เขตเกกีงาม 1,"Bed, cabinet, table",,,,male,,081-726-5370,,,
Mali female Dormitory,หอพักหญิงมะลิ,Keki ngam 1,เขตเกกีงาม 1,"Table, chair, cabinet, bed, bookcase, bookshelf, refrigerator, free WIFI",,,,female,,086-546-6924 086-539-5464,,,
Rattana-amphorn Dormitory,บ้านรัตนอัมพร,Keki ngam 1,เขตเกกีงาม 1,"Bed, cabinet, table",,,,male,,081-489-1272,,,
Lumjiek 1-2 Dormitory,หอพักลําเจียก 1-2,Keki ngam 1,เขตเกกีงาม 1,Bed cabinet table,,,,female,,089-663-5045 092-428-0910,,,
Achariya Dormitory,หอพักอัจฉริยา,Keki ngam 1,เขตเกกีงาม 1,"Table, bed, cabinet (if need refrigerator For additional cost)",,,,female,,081-823-1938 081-992-4669,,,
AP House Dormitory,AP HOUSE,Keki ngam 1,เขตเกกีงาม 1,"Table, bed, cabinet, refrigerator",,,,male,,081-823-1938 081-992-4669,,,
Phol Phat Dormitory,หอพักพลภัทร์,Keki ngam 1,เขตเกกีงาม 1,"Flat screen TV, router, refrigerator, wardrobe, bed table",,,,male,,081-823-1938 081-992-4669,,,
Issarat Dormitory,หอพักอิศรัตน์,Keki ngam 1,เขตเกกีงาม 1,"Bed, cabinet, table",,,,female,,081-755-6489,,,
Khwan Phong Dormitory 1-4,หอพักขวัญพยงค์ 1-4,Keki ngam 1,เขตเกกีงาม 1,"Table, bed, cabinet, ceiling fan",,,,female,,081-648-8532,,,
